category,product_url,Product Name,Gender,Size,Price,Rate,Number_of_rates,Description,Chất liệu,Hướng dẫn giặt,Mã sản phẩm,img_url,product_img
accessories,https://www.uniqlo.com/vn/vi/products/E483050-000,Túi Dây Rút,Nữ,One Size,588000,5.0,8,NỮ One Size Túi Dây Rút VND 588.000 New 5.0 (8),Shell: Vải Túi Trong: 100% Polyeste/ Lớp Lót: 100% Polyeste/ Vai: 100% Polyeste,"Không giặt, Không giặt khô, Không sấy khô",483050,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/483050/item/goods_09_483050_3x4.jpg?width=369,483050.jpg
accessories,https://www.uniqlo.com/vn/vi/products/E481663-000,Túi Puffy,Nữ,One Size,588000,4.6,5,NỮ One Size Túi Puffy VND 588.000 New 4.6 (5),Shell: 100% Polyeste/ Lớp Độn: 100% Polyeste/ Lớp Lót: 100% Polyeste,"Không giặt, Không giặt khô, Không sấy khô",481663,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/481663/item/goods_09_481663_3x4.jpg?width=369,481663.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E474481-000,Quần Dài Siêu Co Giãn Dáng Rộng,Nữ,XS-XL,588000,4.9,255,NỮ XS-XL Quần Dài Siêu Co Giãn Dáng Rộng VND 588.000 4.9 (255),"Thân: 77% Nylon, 23% Elastan/ Vải Túi: Lớp Ngoài: 100% Polyeste/ Vải Túi: Lớp Trong: 77% Nylon, 23% Elastan","Giặt máy nước lạnh, giặt nhẹ, Không giặt khô, Không sấy khô",483291,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/474481/item/vngoods_33_474481_3x4.jpg?width=369,483291.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E475820-000,Quần Dài Gear,Nữ,M,784000,4.8,111,NỮ M Quần Dài Gear VND 784.000 VND 489.000 Sale Sản phẩm được làm từ chất liệu tái chế 4.8 (111),Thân: 100% Nylon ( 30% Sử Dụng Sợi Nylon Tái Chế )/ Mắt Lưới: 100% Polyeste,"Giặt máy nước lạnh, giặt nhẹ, Giặt khô, Không sấy khô",475820,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/475820/item/vngoods_61_475820_3x4.jpg?width=369,475820.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E472485-000,Quần Jeans Dáng Rộng,Nữ,XS-XXL,980000,4.9,999,NỮ XS-XXL Quần Jeans Dáng Rộng VND 980.000 4.9 (999+),"[00 WHITE] Thân: 99% Bông, 1% Elastan/ Vải Túi: 65% Polyeste, 35% Bông [04 GRAY] Thân: 99% Bông, 1% Elastan/ Vải Túi: 100% Bông [67 BLUE, 69 NAVY] Thân: 98% Bông, 2% Elastan/ Vải Túi: 65% Polyeste, 35% Bông","Giặt máy nước lạnh, giặt nhẹ, Không giặt khô, Không sấy khô",483813,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/472485/item/vngoods_67_472485_3x4.jpg?width=369,483813.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E479292-000,Quần Smart Pants Ống Rộng,Nữ,L-XXL,784000,4.9,183,NỮ L-XXL Quần Smart Pants Ống Rộng VND 784.000 Sản phẩm được làm từ chất liệu tái chế 4.9 (183),"Thân: 66% Polyeste, 28% Visco, 6% Elastan ( 66% Sử Dụng Sợi Polyeste Tái Chế )/ Vải Túi: 100% Polyeste ( 60% Sử Dụng Sợi Polyeste Tái Chế )","Giặt máy nước lạnh, giặt nhẹ, Giặt khô, Không sấy khô",479292,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479292/item/vngoods_05_479292_3x4.jpg?width=369,479292.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E477333-000,Quần Jeans Ống Loe Rộng Dáng Rũ,Nữ,21inch-29inch,980000,4.9,604,NỮ 21inch-29inch Quần Jeans Ống Loe Rộng Dáng Rũ VND 980.000 4.9 (604),Sản phẩm được tạo nên từ một trong những loại vải có cấu tạo như dưới đây. Quý khách không thể chọn lựa loại vải mong muốn.,"Giặt máy nước lạnh, giặt nhẹ, Không giặt khô, Không sấy khô",480781,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477333/item/vngoods_66_477333_3x4.jpg?width=369,480781.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E485993-000,Quần Smart Pants Ống Rộng | Kẻ Sọc,Nữ,S-XL,784000,5.0,1,NỮ S-XL Quần Smart Pants Ống Rộng | Kẻ Sọc VND 784.000 New 5.0 (1),"Thân: 66% Polyeste, 28% Visco, 6% Elastan ( 66% Sử Dụng Sợi Polyeste Tái Chế )/ Vải Túi: 100% Polyeste ( 60% Sử Dụng Sợi Polyeste Tái Chế )","Giặt máy nước lạnh, giặt nhẹ, Giặt khô, Không sấy khô",485993,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/485993/item/vngoods_69_485993_3x4.jpg?width=369,485993.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E479399-000,Quần Culottes Vải Nylon,Nữ,XS-XXL,784000,4.9,51,NỮ XS-XXL Quần Culottes Vải Nylon VND 784.000 VND 391.000 Sale Sản phẩm được làm từ chất liệu tái chế 4.9 (51),Thân: 100% Nylon ( 56% Sử Dụng Sợi Nylon Tái Chế )/ Vải Túi: 100% Polyeste ( 60% Sử Dụng Sợi Polyeste Tái Chế ),"Giặt máy nước lạnh, giặt nhẹ, Giặt khô, Không sấy khô",479399,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/479399/item/vngoods_09_479399_3x4.jpg?width=369,479399.jpg
bottoms,https://www.uniqlo.com/vn/vi/products/E480746-000,Quần Jeans Dáng Ôm Ống Loe,Nữ,XL,980000,4.9,151,NỮ XL Quần Jeans Dáng Ôm Ống Loe VND 980.000 VND 784.000 Sale 4.9 (151),"[09 BLACK] Thân: 88% Bông, 8% Polyeste, 4% Elastan/ Vải Túi: 65% Polyeste, 35% Bông [62 BLUE, 66 BLUE, 69 NAVY] Thân: 90% Bông, 7% Polyeste, 3% Elastan/ Vải Túi: 65% Polyeste, 35% Bông","Giặt máy nước lạnh, giặt nhẹ, Không giặt khô, Không sấy khô",480746,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/480746/item/vngoods_69_480746_3x4.jpg?width=369,480746.jpg
